,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232
comments,many fish,many fish,many fish,many fish,many fish,many fish,"1 big Sterno, many Apteronotus",1 deep Brachy,"2 Apteronotus, L10 was no recording","1 Sternopygus, 2 Apteronotus","2 Sternopygus, 2 Apteronotus, 1 extremely high frequency",1 Apteronotus,"2 Apteronotus, 1 extremely high frequency","1 Apteronotus, 1 extremely high frequency",1 Apteronotus,1 Brachy,1 Apteronotus,1 Brachy (?),"1 Apteronotus, 1 extremely high frequency",2 Brachys,2 Brachys,"1 Sternopygus, 2 Apteronotus, 1 Brachy","2 Sternopygus, 3 Apteronotus","1 Sternopygus, 1 Apteronotus, 1 extremely high frequency","3 Sternopygus, clipped",1 Brachy,1 Brachy,1 Brachy,1 Brachy,"1 Sternopygus, 1 Brachy",many fish ? L25,many fish ? L23,many fish,many fish,"1 Sternopygus, 2 Apteronotus",1 Apteronotus,1 Apteronotus ? L16,1 Apteronotus ? L15,1 Apteronotus ? L14,many fish ? L13,many fish,many fish,many fish,many fish,many fish,many fish,"2 Sternopygus, 2 Apteronotus, 1 extremely high frequency","2 Sternopygus, 2 Apteronotus",1 Apteronotus,1 Apteronotus,many fish,"4 Sternopygus, 1 Apteronotus","3 Sternopygus, 1 Apteronotus",many fish (just the beat),"4 Sternopygus, 1 Apteronotus","5 Sternopygus, 4 Apteronotus","2 Sternopygus, 3 Apteronotus","2 Sternopygus, 3 Apteronotus","3 Sternopygus, 3 Apteronotus",1 Apteronotus,1 Apteronotus,"2 Sternopygus, 1 Apteronotus, 1 Brachy",many fish ? L05,"2 Sternopygus, 3 Apteronotus ? L06",1 Brachy,many fish,many fish,1 Apteronotus,"2 Apteronotus, 1 extremely high frequency",2 Apteronotus,2 Apteronotus,2 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,many fish,many fish,many fish,many fish,many fish,many fish,many fish,many fish,"3 Sternopygus, 2 Apteronotus, 1 extremely high frequency & 1 Brachy","1 Sternopygus, 1 Apteronotus",1 Apteronotus,1 Apteronotus,"3 Sternopygus, 1 Apteronotus","Many, 7 Sternopygus, 4 Apteronotus","6 Sternopygus, 2 Apteronotus","3 Sternopygus, 3 Apteronotus","3 Sternopygus, 2 Apteronotus ","5 Sternopygus, 2 Apteronotus","2 Sternopygus, 2 Apteronotus","4 Sternopygus, 1 Apteronotus",1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,many fish,many fish,many fish,many fish,many fish,many fish,many fish,many fish,"two Sternopygus, five Apteronotus","two Sternopygus, two Apteronotus","one Sternopygus, one Apteronotus","one Sternopygus, one Apteronotus",one Apteronotus,one Apteronotus (maybe same fish as EN143),"four Sternopygus, two Apteronotus","two Sternopygus, three Apteronotus","Three Sternopygus, one Apteronotus","Three Sternopygus, one Apteronotus","one Sternopygus, two Apteronotus, one Brachy","Three Sternopygus, one Apteronotus","one Sternopygus, three Apteronotus","one Sternopygus, three Apteronotus",two Apteronotus,"1 Sternopygus, 3 Apteronotus","2 Sternopygus, 2 Apteronotus",5 Apteronotus,"4 Sternopygus, 3 Apteronotus",1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,many fish,many fish,many fish,many fish,many fish,many fish,many fish,many fish,3 Apteronotus,3 Apteronotus,1 Apteronotus,3 Apteronotus,1 Apteronotus,"4 Sternopygus, 3 Apteronotus","3 Sternopygus, 3 Apteronotus","3 Sternopygus, 6 Apteronotus","5 Sternopygus, 5 Apteronotus","3 Sternopygus, 3 Apteronotus","3 Sternopygus, 3 Apteronotus",1 Brachy,"2 Sternopygus, 1 Apteronotus",1 Brachy,"1 Apteronotus, clipped",1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,"1 Apteronotus, clipped",1 Apteronotus,many fish,many Apteronotus,many fish,1 Apteronotus,"1 Sternopygus, 1 Apteronotus","5 Sternopygus, 3 Apteronotus","5 Sternopygus, 2 Apteronotus","2 Sternopygus, 1 Apteronotus",2 Apteronotus,"1 Sternopygus, 5 Apteronotus","1 Sternopygus, 4 Apteronotus","1 Sternopygus, 5 Apteronotus",3 Apteronotus,1 Brachy,"1 Apteronotus, 1 Brachy","1 Sternopygus, 2 Apteronotus","1 Sternopygus, 2 Apteronotus","1 Sternopygus, 4 Apteronotus","1 Sternopygus, 3 Apteronotus",1 Brachy,1 Apteronotus,1 Apteronotus,1 Apteronotus,2 Apteronotus,2 Apteronotus,many fish,many fish,many fish,many fish,many fish,many fish,1 Apteronotus,"2 Sternopygus, 2 Apteronotus",1 Brachy,1 Brachy,"1 Sternopygus, 1 Apteronotus",1 Apteronotus,many fish,"4 Sternopygus, 2 Apteronotus","3 Sternopygus, 3 Apteronotus","1 Sternopygus, 2 Apteronotus",2 Apteronotus,3 Apteronotus,3 Apteronotus,"1 Sternopygus, 1 Apteronotus",2 Apteronotus,2 Apteronotus,1 Apteronotus,3 Apteronotus,2 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,1 Apteronotus,many Apteronotus,many fish,many fish,many Apteronotus,"3 Sternopygus, 2 Apteronotus","3 Sternopygus, 2 Apteronotus",1 Apteronotus,"1 Brachy, 1 Apteronotus","1 Sternopygus, 3 Apteronotus","1 Sternopygus, 2 Apteronotus","1 Brachy, 1 Apteronotus","3 Sternopygus, 2 Apteronotus","2 Sternopygus, 2 Apteronotus","2 Apteronotus, 1 Brachy","3 Apteronotus, 1 Brachy","2 Apteronotus, 1 Brachy"
Date,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-17-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-18-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-19-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-20-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-21-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-22-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-23-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05,2014-24-05
filename,L01,L02 ,L03,L04,L05,L06,L07,L08,L09,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,EN054,EN055,EN056,EN057,EN058,EN059,EN061,EN062,EN063,EN064,EN065,EN066,EN067,EN068,EN069,EN071,EN072,EN073,EN075,EN076,EN077,EN078,EN079,EN080,EN081,EN082,EN083,EN084,EN085,EN086,EN087,EN088,EN089,EN090,EN091,EN092,EN093,EN094,EN095,EN097,EN098,EN099,EN100,EN101,EN102,EN103,EN104,EN105,EN106,EN107,EN108,EN109,EN110,EN111,EN112,EN114,EN115,EN116,EN117,EN118,EN119,EN120,EN121,EN122,EN123,EN124,EN125,EN126,EN127,EN128,EN 129,EN130,EN131,EN132,EN133,EN134,EN135,EN136,EN137,EN138,EN139,EN140,EN141,EN142,EN143,EN144,EN145,EN146,EN147,EN148,EN149,EN150,EN151,EN152,EN001,EN002,EN004,EN005,EN006,EN007,EN008,EN009,EN011,EN012,EN013,EN014,EN015,EN016,EN017,EN018,EN019,EN020,EN021,EN022,EN023,EN024,EN025,EN026,EN027,EN028,EN029,EN002,EN003,EN004,EN005,EN006,EN007,EN008,EN009,EN010,EN011,EN012,EN013,EN014,EN015,EN016,EN017,EN018,EN019,EN020,EN021,EN022,EN023,EN024,EN025,EN001,EN002,EN003,EN004,EN005,EN006,EN007,EN008,EN009,EN010,EN011,EN012,EN013,EN014,EN015,EN016,EN017,EN018,EN019,EN020,EN021,EN022,EN023,EN025,EN026,EN027,EN028,EN029,EN030,EN031,EN032,EN033,EN034,EN035,EN036,EN037,EN038,EN039,EN040,EN041,EN042,EN044,EN045,EN046,EN047,EN048,EN049,EN050,EN051,EN052,EN053,EN054,EN055,EN056,EN057,EN058,EN059,EN060
frequencies,[809.245],"[87.402, 91.03, 172.71200000000002, 620.768, 658.203, 753.296, 872.559]","[688.477, 1934.57]",[159.505],"[197.75400000000002, 567.871, 837.7280000000001, 1276.855, 1935.7910000000002]","[142.7, 183.53900000000002, 543.945, 596.582, 666.992, 707.1289999999999, 738.0369999999999]",[],"[111.098, 133.05700000000002, 608.643]","[824.097, 1979.4920000000002]",[586.182],[597.168],[654.378],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimated upstream position (m),~40,~40,39.5,39.5,39,39,38.5,38,35,35,35,40,35,10,6,6,5.8,5,4.5,4.5,4,3.9,3.7,5,4,3.5,3,2.8,2,2,2,2.5,2.9,3,3.1,4,3.8,3.6,4.8,5,40,39,39,38.5,38,37.5,40,39.5,29.5,23.5,37.5,36,35.4,35.2,6,5.8,5.6,5,4.5,4,3.5,4,4.2,4.5,4.9,4.9,4.9,11,14,14.5,16,16,35,35,35,40,39,38.5,38.5,38,37.5,37.5,36,35,34.4,10,4.5,4,3.5,2,6,5,5.2,5.8,6.3,7,13,16,22,28,36,38,38,36,36,36,37,37,37,37,36.5,36,36,36,36.5,36,16,14,13.6,13,12.7,12.2,12.2,12,1.2,1.2,2.2,3.5,6,7,9,11,16,18,18,18,18,18,18,18,18,34,32,24,18,15,12,12,11,10.7,9.5,5,5,5.5,6.5,8.5,11,14,16,18,23,25,40,40,40,18,15,13,13,13,12.6,12.5,12.4,12.4,12,0.5,3,3.4,4.3,4.6,6.1,6.4,16.4,26.4,28.4,38.4,38.6,38,38,38,38,38,38,30,29.5,18,17.8,16,15.5,15,12.5,12.1,11.6,11,10.6,11,3,4,4,4.5,7.5,9.4,14.4,17.4,20.4,25.4,40,38,38,38,38,16,15,13,5,5,2,13,12.5,12,11,10.2,10.2
pH,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
position comments,,,,,,,,,,,,side of grid,side of grid,~30m from first spot on the other side,~4m towards entrance from 15[...],about 3m from the giant tree @ entrance,~20cm closer to the big tree,about 1m after Brachy,~50cm away from Brachy,,,,,,,,,,,but deeper under the roots,side of the grid,,,,,,,,,,otherside,,,,,,side of grid,,,,otherside,,,,,,,,,,,,,,,,deeper than EN091,,,,,,side of grid,,,otherside,,,"Closer to surface, same spot",,,"same spot, but deeper",,,,,,,,,seems like brachys start appearing about 6m from entrance on either side,starting directly after grid,,,,,~6m upstream,~3m upstream,~6m upstream,~6m,8m upstream,on the other side,"shored in tree, same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otherside,,,,,,,,,,,,,,,,,,,,,otherside,,,,,,,,,,,,,,,,,,,,,,,,,otherside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otherside,,,,,,,,,,,,,,,,
amplitudes,"[45.705, 27.372, 35.473, 39.298, 35.508, 41.555, 17.549, 29.549, 45.975, 59.105, 50.196000000000005, 45.993, 50.63, 54.812, 36.566, 54.063, 56.3, 22.31, 24.843000000000004, 47.14, 49.842, 32.965, 36.701, 45.147]","[41.248000000000005, 23.333000000000002, 46.916000000000004, 23.693, 39.736999999999995, 22.066999999999997, 50.192, 66.60600000000001, 36.431, 52.166000000000004, 43.251999999999995, 52.257, 35.044000000000004, 52.295, 42.725, 63.636, 63.648, 50.025, 47.986000000000004]","[34.743, 56.461000000000006, 30.636999999999997, 56.915, 60.851000000000006, 53.498999999999995, 53.549, 18.54, 42.715, 15.537, 47.67, 71.722, 66.35600000000001, 42.9, 45.191, 77.55199999999999]","[34.75, 46.596000000000004, 56.6, 38.441, 30.627, 57.358999999999995, 41.388999999999996, 52.503, 42.968, 60.855, 56.58, 17.612000000000002, 41.041000000000004, 18.871, 47.288999999999994, 66.785, 41.729, 44.533]","[44.103, 32.118, 57.163000000000004, 41.388000000000005, 57.808, 50.364, 17.628, 48.409, 27.603, 63.782, 44.942, 46.386, 73.348, 57.472, 76.118, 78.487]","[21.993000000000002, 56.038999999999994, 41.301, 63.882, 47.611000000000004, 72.181, 71.38, 24.909000000000002, 47.352, 48.388000000000005, 66.99600000000001, 72.38600000000001, 70.113]","[16.267, 64.628, 47.172]","[34.812, 40.373000000000005, 26.628, 49.163999999999994, 62.233000000000004]","[10.21, 61.07]",[9.377],[8.158999999999999],[9.761000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habitat,E,E,E,E,E,E,E,E,F,F,F,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,E,E,E,E,E,E,D,D,C,C,E,E,E,E,G,G,G,G,G,G,G,A,A,A,A,A,B,B,B,B,B,B,D,D,D,D,E,E,E,E,E,E,E,E,E,G,G,G,G,G,G,A,A,A,A,A,B,B,B,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,G,G,G,G,G,G,G,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C,C,E,E,F,F,F,G,G,G,G,G,A,A,A,A,B,B,B,B,C,D,D,E,E,E,F,G,G,G,G,G,G,G,G,G,G,A,A,A,A,A,A,B,C,C,D,D,E,E,E,E,E,E,F,F,F,F,F,F,G,G,G,G,G,G,G,A,A,A,A,A,B,B,B,C,C,E,E,E,E,E,F,G,G,G,G,G,G,G,G,G,G,G
temperature (degrees C),27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8
